       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 35.266465  32.851064       4.297  4.293519  0.080999
 35.466465  32.851064       4.297  4.293905  0.072027
 35.666465  32.851064       4.297  4.294327  0.062210
 35.866465  32.851064       4.297  4.294653  0.054631
 36.066465  32.851064       4.297  4.294970  0.047234
 36.266465  32.851064       4.297  4.295059  0.045180
 27.666465  33.051064       4.297  4.294987  0.046846
 27.866465  33.051064       4.297  4.295272  0.040203
 28.066465  33.051064       4.297  4.295592  0.032760
 28.266465  33.051064       4.297  4.295499  0.034929
 28.466465  33.051064       4.297  4.295230  0.041184
 28.666465  33.051064       4.297  4.295167  0.042668
 28.866465  33.051064       4.297  4.295146  0.043148
 29.066465  33.051064       4.297  4.294839  0.050293
 29.266465  33.051064       4.297  4.294513  0.057873
 29.466465  33.051064       4.297  4.294291  0.063055
 29.666465  33.051064       4.297  4.294068  0.068237
 29.866465  33.051064       4.297  4.293874  0.072758
 30.066465  33.051064       4.297  4.293669  0.077529
 30.266465  33.051064       4.297  4.293585  0.079469
 30.466465  33.051064       4.297  4.293423  0.083236
 30.666465  33.051064       4.297  4.293271  0.086775
 30.866465  33.051064       4.297  4.292756  0.098760
 31.066465  33.051064       4.297  4.292209  0.111499
 31.266465  33.051064       4.297  4.291896  0.118782
 31.466465  33.051064       4.297  4.291678  0.123850
 31.666465  33.051064       4.297  4.291350  0.131498
 31.866465  33.051064       4.297  4.290926  0.141360
 32.066465  33.051064       4.297  4.290619  0.148506
 32.266465  33.051064       4.297  4.290602  0.148894
 32.466465  33.051064       4.297  4.290695  0.146725
 32.666465  33.051064       4.297  4.290654  0.147684
 32.866465  33.051064       4.297  4.290394  0.153734
 33.066465  33.051064       4.297  4.290491  0.151474
 33.266465  33.051064       4.297  4.290807  0.144122
 33.466465  33.051064       4.297  4.291062  0.138187
 33.666465  33.051064       4.297  4.291064  0.138141
 33.866465  33.051064       4.297  4.291073  0.137936
 34.066465  33.051064       4.297  4.291343  0.131658
 34.266465  33.051064       4.297  4.291661  0.124238
 34.466465  33.051064       4.297  4.291898  0.118736
 34.666465  33.051064       4.297  4.291974  0.116955
 34.866465  33.051064       4.297  4.292280  0.109833
 35.066465  33.051064       4.297  4.292737  0.099217
 35.266465  33.051064       4.297  4.293421  0.083282
 35.466465  33.051064       4.297  4.293850  0.073305
 35.666465  33.051064       4.297  4.294228  0.064516
 35.866465  33.051064       4.297  4.294587  0.056161
 36.066465  33.051064       4.297  4.295038  0.045659
 36.266465  33.051064       4.297  4.295262  0.040454
 26.066465  33.251064       4.297  4.294869  0.049586
 26.266465  33.251064       4.297  4.294881  0.049312
 26.466465  33.251064       4.297  4.294891  0.049083
 27.266465  33.251064       4.297  4.293565  0.079949
 27.466465  33.251064       4.297  4.293659  0.077757
 27.666465  33.251064       4.297  4.293917  0.071753
 27.866465  33.251064       4.297  4.294160  0.066091
 28.066465  33.251064       4.297  4.294015  0.069470
 28.266465  33.251064       4.297  4.294065  0.068306
 28.466465  33.251064       4.297  4.294077  0.068032
 28.666465  33.251064       4.297  4.294046  0.068740
 28.866465  33.251064       4.297  4.293854  0.073214
 29.066465  33.251064       4.297  4.293487  0.081752
 29.266465  33.251064       4.297  4.293207  0.088282
 29.466465  33.251064       4.297  4.292997  0.093167
 29.666465  33.251064       4.297  4.293020  0.092619
 29.866465  33.251064       4.297  4.292784  0.098121
 30.066465  33.251064       4.297  4.292369  0.107778
 30.266465  33.251064       4.297  4.292021  0.115882
 30.466465  33.251064       4.297  4.291954  0.117435
 30.666465  33.251064       4.297  4.291936  0.117846
 30.866465  33.251064       4.297  4.291447  0.129238
 31.066465  33.251064       4.297  4.290904  0.141862
 31.266465  33.251064       4.297  4.290617  0.148551
 31.466465  33.251064       4.297  4.290264  0.156770
 31.666465  33.251064       4.297  4.289664  0.170719
 31.866465  33.251064       4.297  4.289496  0.174623
 32.066465  33.251064       4.297  4.289542  0.173573
 32.266465  33.251064       4.297  4.289384  0.177248
 32.466465  33.251064       4.297  4.289046  0.185101
 32.666465  33.251064       4.297  4.289181  0.181974
 32.866465  33.251064       4.297  4.289546  0.173481
 33.066465  33.251064       4.297  4.289701  0.169851
 33.266465  33.251064       4.297  4.289725  0.169303
 33.466465  33.251064       4.297  4.289957  0.163916
 33.666465  33.251064       4.297  4.290372  0.154259
 33.866465  33.251064       4.297  4.290595  0.149054
 34.066465  33.251064       4.297  4.290740  0.145675
 34.266465  33.251064       4.297  4.291067  0.138073
 34.466465  33.251064       4.297  4.291491  0.128210
 34.666465  33.251064       4.297  4.291748  0.122229
 34.866465  33.251064       4.297  4.291958  0.117344
 35.066465  33.251064       4.297  4.292411  0.106796
 35.266465  33.251064       4.297  4.293201  0.088419
 35.466465  33.251064       4.297  4.293726  0.076182
 35.666465  33.251064       4.297  4.294168  0.065909
 35.866465  33.251064       4.297  4.294611  0.055590
 36.066465  33.251064       4.297  4.295083  0.044609
 36.266465  33.251064       4.297  4.295372  0.037897
 36.466465  33.251064       4.297  4.295372  0.037897
 25.666465  33.451064       4.297  4.294860  0.049791
 25.866465  33.451064       4.297  4.294864  0.049700
 26.066465  33.451064       4.297  4.294874  0.049471
 26.266465  33.451064       4.297  4.294883  0.049266
 26.466465  33.451064       4.297  4.294891  0.049083
 26.666465  33.451064       4.297  4.294900  0.048878
 26.866465  33.451064       4.297  4.294322  0.062324
 27.066465  33.451064       4.297  4.293695  0.076913
 27.266465  33.451064       4.297  4.293150  0.089606
 27.466465  33.451064       4.297  4.293122  0.090245
 27.666465  33.451064       4.297  4.293001  0.093076
 27.866465  33.451064       4.297  4.292689  0.100336
 28.066465  33.451064       4.297  4.292550  0.103555
 28.266465  33.451064       4.297  4.292647  0.101294
 28.466465  33.451064       4.297  4.292758  0.098715
 28.666465  33.451064       4.297  4.292382  0.107481
 28.866465  33.451064       4.297  4.291790  0.121247
 29.066465  33.451064       4.297  4.291354  0.131384
 29.266465  33.451064       4.297  4.291378  0.130836
 29.466465  33.451064       4.297  4.291495  0.128119
 29.666465  33.451064       4.297  4.290879  0.142456
 29.866465  33.451064       4.297  4.290467  0.152044
 30.066465  33.451064       4.297  4.290342  0.154944
 30.266465  33.451064       4.297  4.290650  0.147775
 30.466465  33.451064       4.297  4.290423  0.153049
 30.666465  33.451064       4.297  4.290147  0.159487
 30.866465  33.451064       4.297  4.289838  0.166678
 31.066465  33.451064       4.297  4.289949  0.164098
 31.266465  33.451064       4.297  4.289716  0.169509
 31.466465  33.451064       4.297  4.289519  0.174098
 31.666465  33.451064       4.297  4.289306  0.179052
 31.866465  33.451064       4.297  4.289259  0.180147
 32.066465  33.451064       4.297  4.289246  0.180444
 32.266465  33.451064       4.297  4.289190  0.181745
 32.466465  33.451064       4.297  4.289268  0.179942
 32.666465  33.451064       4.297  4.289378  0.177385
 32.866465  33.451064       4.297  4.289517  0.174143
 33.066465  33.451064       4.297  4.289629  0.171541
 33.266465  33.451064       4.297  4.289758  0.168527
 33.466465  33.451064       4.297  4.289994  0.163048
 33.666465  33.451064       4.297  4.290136  0.159738
 33.866465  33.451064       4.297  4.290303  0.155857
 34.066465  33.451064       4.297  4.290521  0.150789
 34.266465  33.451064       4.297  4.291004  0.139534
 34.466465  33.451064       4.297  4.291478  0.128507
 34.666465  33.451064       4.297  4.291701  0.123325
 34.866465  33.451064       4.297  4.291898  0.118736
 35.066465  33.451064       4.297  4.292524  0.104171
 35.266465  33.451064       4.297  4.293384  0.084149
 35.466465  33.451064       4.297  4.293920  0.071685
 35.666465  33.451064       4.297  4.294328  0.062187
 35.866465  33.451064       4.297  4.294813  0.050887
 36.066465  33.451064       4.297  4.295394  0.037372
 36.266465  33.451064       4.297  4.295795  0.028035
 36.466465  33.451064       4.297  4.295928  0.024953
 36.666465  33.451064       4.297  4.296050  0.022099
 25.466465  33.651064       4.297  4.297268 -0.006232
 25.666465  33.651064       4.297  4.295527  0.034290
 25.866465  33.651064       4.297  4.294866  0.049654
 26.066465  33.651064       4.297  4.294875  0.049449
 26.266465  33.651064       4.297  4.294884  0.049243
 26.466465  33.651064       4.297  4.294892  0.049061
 26.666465  33.651064       4.297  4.294787  0.051503
 26.866465  33.651064       4.297  4.294218  0.064744
 27.066465  33.651064       4.297  4.293623  0.078579
 27.266465  33.651064       4.297  4.293060  0.091683
 27.466465  33.651064       4.297  4.292613  0.102093
 27.666465  33.651064       4.297  4.292083  0.114421
 27.866465  33.651064       4.297  4.291658  0.124329
 28.066465  33.651064       4.297  4.291474  0.128598
 28.266465  33.651064       4.297  4.291260  0.133575
 28.466465  33.651064       4.297  4.291115  0.136954
 28.666465  33.651064       4.297  4.290454  0.152341
 28.866465  33.651064       4.297  4.289830  0.166861
 29.066465  33.651064       4.297  4.289367  0.177636
 29.266465  33.651064       4.297  4.289509  0.174326
 29.466465  33.651064       4.297  4.289196  0.181608
 29.666465  33.651064       4.297  4.288723  0.192612
 29.866465  33.651064       4.297  4.288103  0.207041
 30.066465  33.651064       4.297  4.288430  0.199438
 30.266465  33.651064       4.297  4.288698  0.193206
 30.466465  33.651064       4.297  4.288666  0.193959
 30.666465  33.651064       4.297  4.288429  0.199461
 30.866465  33.651064       4.297  4.288429  0.199461
 31.066465  33.651064       4.297  4.288717  0.192772
 31.266465  33.651064       4.297  4.289023  0.185649
 31.466465  33.651064       4.297  4.288960  0.187110
 31.666465  33.651064       4.297  4.288879  0.188982
 31.866465  33.651064       4.297  4.289111  0.183595
 32.066465  33.651064       4.297  4.289406  0.176723
 32.266465  33.651064       4.297  4.289564  0.173047
 32.466465  33.651064       4.297  4.289683  0.170285
 32.666465  33.651064       4.297  4.289804  0.167454
 32.866465  33.651064       4.297  4.289911  0.164966
 33.066465  33.651064       4.297  4.290025  0.162318
 33.266465  33.651064       4.297  4.290110  0.160354
 33.466465  33.651064       4.297  4.290261  0.156839
 33.666465  33.651064       4.297  4.290264  0.156770
 33.866465  33.651064       4.297  4.290379  0.154076
 34.066465  33.651064       4.297  4.290697  0.146679
 34.266465  33.651064       4.297  4.291099  0.137319
 34.466465  33.651064       4.297  4.291473  0.128621
 34.666465  33.651064       4.297  4.291790  0.121247
 34.866465  33.651064       4.297  4.292307  0.109216
 35.066465  33.651064       4.297  4.292839  0.096843
 35.266465  33.651064       4.297  4.293589  0.079378
 35.466465  33.651064       4.297  4.294116  0.067119
