       Lon        Lat  FastDir(deg)  Amplitude(%)
 26.198816  34.515500        52.391      1.071209
 27.084933  34.583712        62.076      1.845577
 27.972437  34.645510        69.199      1.316425
 28.861196  34.700869        77.012      0.761462
 29.751075  34.749767        84.101      0.542057
 30.641939  34.792185       -89.532      0.464621
 31.533649  34.828106       -81.219      0.361372
 32.426067  34.857516       -36.023      0.322653
 33.319053  34.880402         2.752      0.477527
 34.212465  34.896756        27.623      0.529151
 35.106161  34.906571        40.249      0.309747
 36.000000  34.909844        33.280      0.103249
 36.893839  34.906571        11.159      0.025812
 37.787536  34.896756       -32.890      0.012906
 25.892149  33.702691       -89.801      0.141967
 26.766126  33.771478        69.831      0.232310
 27.641444  33.834096        73.559      0.245216
 28.517983  33.890520       -89.236      0.180686
 29.395617  33.940729       -78.812      0.154874
 30.274224  33.984704       -79.053      0.141967
 31.153675  34.022428       -78.229      0.167780
 32.033843  34.053887       -70.809      0.193592
 32.914600  34.079069       -56.462      0.141967
 33.795814  34.097964       -43.875      0.064531
 34.677357  34.110565       -47.048      0.103249
 35.559097  34.116866       -53.518      0.103249
 36.440903  34.116866       -49.909      0.038718
 29.916491  33.173139       -65.791      0.038718
 30.783999  33.212457       -81.020      0.038718
 31.652228  33.245751       -87.158      0.051625
 32.521058  33.273008       -80.288      0.103249
 33.390370  33.294218       -69.267      0.141967
 34.260045  33.309374       -57.835      0.193592
 35.129962  33.318469       -54.782      0.206498
 36.000000  33.321501       -53.334      0.090343
 36.870038  33.318469       -51.833      0.012906
 31.280814  32.433276        56.168      0.012906
 32.138015  32.462395        50.074      0.025812
 32.995715  32.485702        60.580      0.025812
 33.853804  32.503190       -51.206      0.038718
 34.712171  32.514852       -47.159      0.090343
 35.570705  32.520684       -47.457      0.077437
 36.429295  32.520684       -44.270      0.012906
 32.611445  31.672597        36.179      0.012906
 33.458225  31.692201        28.150      0.025812
 34.305313  31.706209         5.821      0.038718
 35.152605  31.714615       -10.377      0.038718
 36.000000  31.717417       -23.357      0.012906
 33.890675  30.897162        25.872      0.012906
 34.734308  30.908115        18.362      0.012906
